title,url,stage,day,time,mbid,lfm_url,orig_name
bbc radio 1 essential mix,,NOWHERE,FRIDAY,02:00 - 03:00,,,https://www.last.fm/music/bbc+radio+1+essential+mix,BBC RADIO 1 ESSENTIAL MIX
Beans On Toast,https://beansontoastmusic.com,AVALON STAGE,SATURDAY,14:10 - 15:05,"Cult folk songwriter and Glastonbury favourite; a hippy, a punk, a poet, a drunk, a die-hard romantic and an eternal optimist.",d60583e5-3bb9-4b00-acd6-26e7a6066f3a,https://www.last.fm/music/Beans+On+Toast,BEANS ON TOAST
Beautiful Landing,https://www.youtube.com/@beautifullanding/,THE RABBIT HOLE,THURSDAY,17:00 - 18:00,,,https://www.last.fm/music/Beautiful+Landing,BEAUTIFUL LANDING
Becky Hill,https://www.beckyhill.com/,OTHER STAGE,SUNDAY,18:00 - 19:00,"Funky electronic pop singer songwriter who’s been featured on tunes with Guetta, Rudimental and many more as well as producing her own string of chart-topping singles.",27bc6f5b-4585-49ab-8d7d-c62b59f5f010,https://www.last.fm/music/Becky+Hill,BECKY HILL
Ben Atkins,,THE RUM SHACK,SATURDAY,23:00 - 00:00,,6292764a-4030-4ff0-bd7e-6bb1dd7b1fe5,https://www.last.fm/music/Ben+Atkins,BEN ATKINS
Ben Howard,https://www.benhowardmusic.co.uk/,OTHER STAGE,FRIDAY,11:30 - 12:30,Dreamy multi-layered folk pop that spirals around a gorgeous flowing vocal and a hammered playing style as evidenced on his brand new album ‘Is It?’,534dda3c-b73f-408b-8889-bd68eae84df6,https://www.last.fm/music/Ben+Howard,BEN HOWARD
Ben Loader,,OUTSIDE CIRCUS STAGE,FRIDAY,18:40 - 18:48,,,https://www.last.fm/music/Ben+Loader,BEN LOADER
Ben Pest,https://www.instagram.com/benpest/,THE TEMPLE,FRIDAY,23:00 - 00:00,,,https://www.last.fm/music/Ben+Pest,BEN PEST
Ben UFO,https://ra.co/dj/benufo,GENOSYS SOUND SYSTEM,SATURDAY,02:30 - 04:30,,d355730f-895c-4a9a-951b-d36c3b16a8a2,https://www.last.fm/music/Ben+UFO,BEN UFO
Chris Thorne,,GREENPEACE,SUNDAY,17:40 - 18:55,,,https://www.last.fm/music/Chris+Thorne,CHRIS THORNE
Benefits,https://www.benefitstheband.com,LEFT FIELD,FRIDAY,19:30 - 20:30,Sleaford Mods and Pixies-approved shouty north-east England punks tackling everyday issues of nationalism and understanding what Britain is about today.,,https://www.last.fm/music/Benefits,BENEFITS
Benji Clements,https://youtu.be/f9by7yn9ayy,MANDALA STAGE,SUNDAY,00:00 - 01:00,,,https://www.last.fm/music/Benji+Clements,BENJI CLEMENTS
Beth Orton,https://bethortonofficial.com/,WEST HOLTS STAGE,SUNDAY,12:30 - 13:30,"With an incredible band featuring Dave Okumu and Tom Herbert, on the back of her latest album, ‘Weather Alive’ that’s been hailed as the best of her career.",214d84a5-e9e5-4432-af95-8c84da7ba4c0,https://www.last.fm/music/Beth+Orton,BETH ORTON
Beyond the Struttosphere,https://soundcloud.com/beyond-the-struttosphere,RABBIT HOLE'S FUNKINGHAM PALACE,SUNDAY,23:30 - 00:30,,,https://www.last.fm/music/Beyond+the+Struttosphere,BEYOND THE STRUTTOSPHERE
Big Joanie,https://bigjoanie.com/,LEFT FIELD,SATURDAY,16:30 - 17:00,"Much-talked-about fury-filled feminine punk trio with plaudits from 6Music, Rolling Stone and all points between.",6764d1b3-2d27-41d6-960d-d3d2866b605d,https://www.last.fm/music/Big+Joanie,BIG JOANIE
Bill Brewster,,RABBIT HOLE'S FUNKINGHAM PALACE,SUNDAY,21:00 - 22:30,,18a0f9fb-bef4-4003-ba7f-8ad5b04de6c6,https://www.last.fm/music/Bill+Brewster,BILL BREWSTER
Billy Bragg,https://www.billybragg.co.uk/,LEFT FIELD,FRIDAY,21:00 - 22:00,"The guv’nor celebrating 40 years since the release of his seminal ‘Life’s A Riot With Spy Vs Spy’, still searching for ‘A New England’.",7cec4a03-0a83-4308-856a-afb8aa5db0fc,https://www.last.fm/music/Billy+Bragg,BILLY BRAGG
Billy Nomates,https://www.iambillynomates.com/,THE PARK STAGE,FRIDAY,15:15 - 16:15,Sleaford Mods-approved deadpan-but-biting no wave/post punk alliterations from the 6Music-championed singer.,,https://www.last.fm/music/Billy+Nomates,BILLY NOMATES
Bimini,https://www.instagram.com/biminibabes,GREENPEACE,THURSDAY,20:50 - 21:30,,927f9740-9aab-4112-af6d-ce607821ab18,https://www.last.fm/music/Bimini,BIMINI
Bingo Bango Bongo,,SENSATION SEEKERS STAGE,FRIDAY,14:20 - 14:50,,,https://www.last.fm/music/Bingo+Bango+Bongo,BINGO BANGO BONGO
The Songs Of Leonard Cohen,https://www.instagram.com/birdotwire/?hl=en,ACOUSTIC STAGE,SUNDAY,15:00 - 15:50,A collaborative interpretation of The Leonard Cohen Songbook by singer Pauline Scanlon and Galway band The Whileaways.,,https://www.last.fm/music/The+Songs+Of+Leonard+Cohen,THE SONGS OF LEONARD COHEN
Black Box,https://www.blackboxhouse.eu/,GLADE,FRIDAY,17:40 - 18:40,"Italian house that flourished in the early 90s, returning with a new vocalist, Bristol-born-and-raised singer songwriter Celestine.",d73596bb-a8f8-4aae-a323-d881f5245149,https://www.last.fm/music/Black+Box,BLACK BOX
"Black Country, New Road",https://blackcountrynewroad.com/,WEST HOLTS STAGE,SUNDAY,14:00 - 15:00,"Warmly inviting and endlessly innovative, BCNR make their Glastonbury debut off the back of their brilliant ‘Live At Bush Hall’ album.",,"https://www.last.fm/music/Black+Country,+New+Road","BLACK COUNTRY, NEW ROAD"
Black Kat Boppers,https://blackkatboppers.com/,THE ROCKET LOUNGE,FRIDAY,01:00 - 02:00,,,https://www.last.fm/music/Black+Kat+Boppers,BLACK KAT BOPPERS
Blacksmith & Frenic,https://www.instagram.com/blacksmithmusic/. https://www.instagram.com/djfrenic/,BABYLON UPRISING,SUNDAY,14:00 - 15:00,,,https://www.last.fm/music/Blacksmith+&+Frenic,BLACKSMITH & FRENIC
Guests,,BLIND TIGER,THURSDAY,14:00 - 15:00,,,https://www.last.fm/music/Guests,GUESTS
Cardinal Sound,,BLIND TIGER,THURSDAY,15:00 - 16:00,,,https://www.last.fm/music/Cardinal+Sound,CARDINAL SOUND
Blondie,https://www.blondie.net/,PYRAMID STAGE,SUNDAY,17:00 - 18:15,Timeless punk pop new wave from the darlings on the New York scene circa 1977 who became pop ambassadors through the 80s and way beyond.,4d2956d1-a3f7-44bb-9a41-67563e1a0c94,https://www.last.fm/music/Blondie,BLONDIE
Blue Lab Beats,https://bluelabbeats.com/,TRUTH STAGE,FRIDAY,00:15 - 01:00,,,https://www.last.fm/music/Blue+Lab+Beats,BLUE LAB BEATS
Blue Violet,https://www.instagram.com/weareblueviolet/?hl=en,STRUMMERVILLE,FRIDAY,16:00 - 16:30,,2c42c2c8-ecf4-442f-9440-4a9ac758f28f,https://www.last.fm/music/Blue+Violet,BLUE VIOLET
Booty Bass,https://www.instagram.com/bootybassdj/,GREENPEACE,THURSDAY,15:45 - 16:40,,,https://www.last.fm/music/Booty+Bass,BOOTY BASS
Selecta J-Man,https://www.instagram.com/bornonroad/,THE TEMPLE,THURSDAY,23:15 - 00:15,,,https://www.last.fm/music/Selecta+J-Man,SELECTA J-MAN
Kelvin 373 & Selecta J-Man,https://www.instagram.com/bornonroad/,THE TEMPLE,THURSDAY,23:15 - 00:15,,,https://www.last.fm/music/Kelvin+373+&+Selecta+J-Man,KELVIN 373 & SELECTA J-MAN
BOSSLADY,http://www.instagram.com/dj_bosslady_uk,THE SALON CAROUSEL,THURSDAY,01:00 - 02:00,,,https://www.last.fm/music/BOSSLADY,BOSSLADY
Bou,https://www.instagram.com/bou_dnb/ https://www.instagram.com/hedexuk/,THE TEMPLE,THURSDAY,20:00 - 21:30,,,https://www.last.fm/music/Bou,BOU
Hedex,https://www.instagram.com/bou_dnb/ https://www.instagram.com/hedexuk/,THE TEMPLE,THURSDAY,20:00 - 21:30,,,https://www.last.fm/music/Hedex,HEDEX
Haribo,https://www.instagram.com/bou_dnb/ https://www.instagram.com/hedexuk/,THE TEMPLE,THURSDAY,20:00 - 21:30,,,https://www.last.fm/music/Haribo,HARIBO
Turno,http://bou (@bou_dnb) • instagram photos and videos       https://www.instagram.com/turno_/,NOWHERE,SUNDAY,03:00 - 04:00,,6a271a16-e231-4508-979a-5017a31a9406,https://www.last.fm/music/Turno,TURNO
Bradley Zero,,THE WOW,THURSDAY,19:30 - 21:00,Rhythm Section host and DJ Zero head on with Ruf Dug’s stylistically diverse repertoire.,,https://www.last.fm/music/Bradley+Zero,BRADLEY ZERO
RUF DUG,,THE WOW,THURSDAY,19:30 - 21:00,Rhythm Section host and DJ Zero head on with Ruf Dug’s stylistically diverse repertoire.,,https://www.last.fm/music/RUF+DUG,RUF DUG
