title,url,stage,day,time,lfm_id
Culture Shock,,WANGO RILEY'S TRAVELLING STAGE,SATURDAY,21:45 - 22:30,1024355
cumbia all stars,http://www.cumbiaallstars.org/,WEST HOLTS,SUNDAY,16:00 - 17:00,16629747
Curtis Eller's American Circus,http://www.curtiseller.com,THE BANDSTAND,SUNDAY,20:40 - 21:40,1293586
Cut A Shine,http://www.cutashine.co.uk,THE BANDSTAND,THURSDAY,16:40 - 17:40,21696321
Cut Capers,http://www.cutcapers.com,CROISSANT NEUF,SATURDAY,01:00 - 02:00,80528395
D.A.V.E The Drummer,https://soundcloud.com/dave-the-drummer,THE TEMPLE,FRIDAY,04:00 - 05:00,1336353
Da Gamba,http://www.dagamba.eu,TOAD HALL,THURSDAY,23:15 - 00:15,75583899
DaGamba,http://dagamba.eu/the-band/,THE BANDSTAND,SATURDAY,15:00 - 15:40,69907129
Damian Lazarus,http://damianlazarus.com/,SONIC,FRIDAY,17:15 - 18:15,1302803
Dan Simpson,http://www.dansimpsonpoet.co.uk,POETRY&WORDS,FRIDAY,17:25 - 17:45,19462655
Daniel McKee,http://www.kardistry.com,BELLA'S FIELD,FRIDAY,16:30 - 17:15,33413958
Darius,,THE DOWNLOW RADIO,SATURDAY,03:00 - 04:30,1056729
Dark Sky,https://www.facebook.com/darkskyuk,WOW!,SUNDAY,18:00 - 19:00,1142703
Dave Seaman,http://www.djdaveseaman.com,GLADE LOUNGE,FRIDAY,01:15 - 03:00,1023164
Dave Tunstall,,GREENPEACE,WEDNESDAY,20:00 - 20:45,76040304
Davos,https://www.facebook.com/Davoslive,GLADE,SUNDAY,12:40 - 13:10,10461014
Dax J,https://soundcloud.com/daxj,THE TEMPLE,FRIDAY,03:00 - 04:00,17580013
DC Breaks,,ARCADIA,SATURDAY,00:30 - 01:30,10379987
De fuego,http://defuego.co.uk/,SMALL WORLD STAGE,THURSDAY,16:00 - 15:00,67961440
deadmau5,http://www.deadmau5.com/,OTHER STAGE,SATURDAY,22:30 - 23:45,1182039
Dean,,WANGO RILEY'S TRAVELLING STAGE,SATURDAY,19:30 - 20:15,1141707
Death By Numbers,http://people.maths.ox.ac.uk/dusautoy/,THE ASTROLABE THEATRE,FRIDAY,16:00 - 16:50,32055394
Death Cab for Cutie,http://deathcabforcutie.com/home/,JOHN PEEL STAGE,SUNDAY,20:35 - 21:35,4192
Death from Above 1979,http://deathfromabove1979.com/,JOHN PEEL STAGE,SATURDAY,19:35 - 20:35,6694932
Declan Mckenna,https://soundcloud.com/declan-mckenna/brazil-final,RABBIT HOLE,THURSDAY,19:00 - 19:30,89720802
Denai Moore,http://www.denaimoore.com/,THE PARK STAGE,SUNDAY,12:00 - 12:40,50691310
Dense,,GENOSYS,SUNDAY,21:30 - 23:00,11720569
Dephect,http://www.mixcloud.com/rob-dephect,THE SPACEPORT,FRIDAY,23:00 - 00:00,17571075
Deputy,,BABYLON UPRISING,FRIDAY,14:00 - 15:00,14409610
Dermot O'Leary,,RABBIT HOLE,FRIDAY,23:30 - 01:30,27325020
Dickster,http://soundcloud.com/dicktrevor,GLADE LOUNGE,SATURDAY,01:15 - 03:00,2038806
Digging Roots,http://diggingrootsmusic.com/,GULLY,SATURDAY,14:15 - 15:15,13595421
digs,,GENOSYS,FRIDAY,16:00 - 18:00,10376875
digs,,THE DOWNLOW RADIO,WEDNESDAY,23:00 - 00:30,10376875
Dillinja,http://vlvmusic.com/index.php/artists/dillin,SALON CAROUSEL,SATURDAY,01:00 - 02:00,4208
DJ Ace,http://www.djace.com/,THE BLUES,SATURDAY,19:30 - 21:00,1135553
Dj AntZ,http://www.trustthedj.com/djantz,THE SPACEPORT,SATURDAY,15:00 - 18:00,14265238
DJ Badly,https://www.facebook.com/dj.badly,THE BLUES,SATURDAY,12:30 - 14:00,22076441
DJ Ben Ben,,ANCIENT FUTURES,SUNDAY,01:30 - 03:00,70427111
DJ Chamber,,THE SPACEPORT,SUNDAY,18:00 - 19:00,12840076
DJ Chris Tofu,,THE HOUSE OF COME ONS,THURSDAY,01:00 - 02:00,73876836
Dj Code,https://www.facebook.com/djcode.fans,THE BLUES,SATURDAY,15:30 - 17:00,6638396
Dj Crash,http://www.djcrashandburn.com/,HMS SWEET CHARITY,THURSDAY,01:00 - 02:00,1115963
Dj Detta,https://soundcloud.com/dj-detta,THE SPACEPORT,SUNDAY,22:00 - 23:00,63587908
DJ EZ,http://www.djez.com/,WOW!,SATURDAY,01:00 - 02:00,1008541
DJ Flight,,LONDON UNDERGROUND,FRIDAY,01:30 - 03:00,1231952
DJ Goofy,,BABYLON UPRISING,THURSDAY,21:00 - 22:00,6652677
DJ Hype,http://playaz.co.uk/artists/dj-hype/,THE BLUES,SATURDAY,21:00 - 22:30,1000358
Dj Louie Louie,,DELUXE DINER,Thursday,02:30 - 04:00,48026115
DJ MISS PINK,,LONDON UNDERGROUND,FRIDAY,00:30 - 01:30,74570374
