title,url,stage,day,time,mbid,lfm_url,orig_name
Kyo,http://www.symmetryrecordings.co.uk,THE CAVE,SUNDAY,00:00 - 01:00,c5d581b7-3b8b-414b-92ae-8f8ed6198901,https://www.last.fm/music/Kyo,KYO
Brian Boothby,http://www.brianboothby.co.uk/festivals/index.html,MANDALA STAGE,WEDNESDAY,22:00 - 23:00,,https://www.last.fm/music/Brian+Boothby,BRIAN BOOTHBY
British Sea Power,https://www.britishseapower.co.uk//home?hs=1,OTHER STAGE,SATURDAY,13:15 - 14:15,8830afec-83b3-4213-aad0-f6377f1d73ac,https://www.last.fm/music/British+Sea+Power,BRITISH SEA POWER
Buffo's Wake,http://www.buffoswake.co.uk/,THE TRUTH STAGE,FRIDAY,21:00 - 22:00,,https://www.last.fm/music/Buffo%27s+Wake,BUFFO'S WAKE
Buffos wake,http://www.buffoswake.co.uk/,BIMBLE INN,FRIDAY,17:00 - 18:00,,https://www.last.fm/music/Buffos+wake,BUFFOS WAKE
Jonno,http://www.buggedout.net/,THE ROCKET LOUNGE,FRIDAY,01:30 - 06:00,,https://www.last.fm/music/Jonno,JONNO
Dusky,http://www.buggedout.net/,STONEBRIDGE BAR,THURSDAY,16:30 - 18:00,9feea1d6-3e4e-4d3c-b84a-87a12f7cbf94,https://www.last.fm/music/Dusky,DUSKY
Lemmy Ashton,http://www.buggedout.net/,STONEBRIDGE BAR,THURSDAY,16:30 - 18:00,,https://www.last.fm/music/Lemmy+Ashton,LEMMY ASHTON
Bumbling Loons,,GLADE LOUNGE,SATURDAY,21:00 - 22:30,2e819820-56a5-4423-89bd-3f9e9cd63d09,https://www.last.fm/music/Bumbling+Loons,BUMBLING LOONS
Burnz,,GREENPEACE/ENGINE ROOM,WEDNESDAY,23:00 - 23:30,,https://www.last.fm/music/Burnz,BURNZ
Bushwacka!,,SPACEPORT,FRIDAY,15:00 - 16:00,21cbf9ea-bd99-43aa-8979-f72d65985de7,https://www.last.fm/music/Bushwacka%21,BUSHWACKA!
Bushwacker,,THE RABBIT HOLE'S FUNKINGHAM PALACE,THURSDAY,00:00 - 01:30,7ce7bcc4-1af6-4c85-aa61-b334ef550569,https://www.last.fm/music/Bushwacker,BUSHWACKER
Bustawidemove,http://www.widedubz.co.uk,THE CAVE,SUNDAY,22:00 - 23:00,,https://www.last.fm/music/Bustawidemove,BUSTAWIDEMOVE
MC Ishu,http://www.widedubz.co.uk,THE CAVE,SUNDAY,22:00 - 23:00,,https://www.last.fm/music/MC+Ishu,MC ISHU
Busted,http://busted.com,AVALON STAGE,SATURDAY,15:45 - 16:45,ee7cd965-254c-4333-a43d-54cb47143dec,https://www.last.fm/music/Busted,BUSTED
Buttoned Down Disco,http://www.buttoneddowndisco.com/,WILLIAM'S GREEN,SUNDAY,23:00 - 02:30,,https://www.last.fm/music/Buttoned+Down+Disco,BUTTONED DOWN DISCO
Cab Drivers,,GENOSYS,SATURDAY,03:00 - 04:00,521d750e-4210-4bd9-acdb-9dee3deb16c1,https://www.last.fm/music/Cab+Drivers,CAB DRIVERS
Cabbage,,JOHN PEEL STAGE,SATURDAY,15:30 - 16:20,60f3308c-c0fa-4f11-ac3f-707e7f973f35,https://www.last.fm/music/Cabbage,CABBAGE
Cadet,http://www.callmecadetuk.com/,SONIC,FRIDAY,15:45 - 16:15,c872f796-1497-49d2-8c29-852baa3ede69,https://www.last.fm/music/Cadet,CADET
Call Super,,WOW!,THURSDAY,22:00 - 23:00,c5d98aa8-5f6b-4910-b4a0-dfcca6694e52,https://www.last.fm/music/Call+Super,CALL SUPER
Callum Beattie,,ACOUSTIC STAGE,SUNDAY,12:00 - 12:30,,https://www.last.fm/music/Callum+Beattie,CALLUM BEATTIE
Canalón de Timbiquí,,GULLY,FRIDAY,13:00 - 14:15,,https://www.last.fm/music/Canal%C3%B3n+de+Timbiqu%C3%AD,CANALÓN DE TIMBIQUÍ
Captain Of The Lost Waves,,CN BANDSTAND,FRIDAY,18:30 - 19:15,,https://www.last.fm/music/Captain+Of+The+Lost+Waves,CAPTAIN OF THE LOST WAVES
Carl Barat and the Jackals,https://www.carlbaratandthejackals.com/,WILLIAM'S GREEN,SATURDAY,19:00 - 19:40,,https://www.last.fm/music/Carl+Barat+and+the+Jackals,CARL BARAT AND THE JACKALS
Carolyn mcgoldrick,,PUSSY PARLURE,THURSDAY,19:45 - 20:30,,https://www.last.fm/music/Carolyn+mcgoldrick,CAROLYN MCGOLDRICK
Carter Sampson,http://www.cartersampson.net,ACOUSTIC STAGE,FRIDAY,12:00 - 12:40,,https://www.last.fm/music/Carter+Sampson,CARTER SAMPSON
Cassetteboy vs DJ Rubbish,https://www.youtube.com/user/cassetteboy/about,GLADE,SUNDAY,13:30 - 14:15,,https://www.last.fm/music/Cassetteboy+vs+DJ+Rubbish,CASSETTEBOY VS DJ RUBBISH
Celeste Lovick,http://www.shelteringtree.co.uk/celestelovick.html,MANDALA STAGE,THURSDAY,17:00 - 18:00,,https://www.last.fm/music/Celeste+Lovick,CELESTE LOVICK
Celt Islam,https://soundcloud.com/celt-islam,THE CAVE,THURSDAY,22:00 - 23:00,b49b2234-96d9-4479-8e26-d8d3c3162406,https://www.last.fm/music/Celt+Islam,CELT ISLAM
Dr Weevil,https://soundcloud.com/celt-islam,THE CAVE,THURSDAY,22:00 - 23:00,,https://www.last.fm/music/Dr+Weevil,DR WEEVIL
cerian,http://HTTP://WWW.CERIANMUSIC.COM/,TOAD HALL,WEDNESDAY,18:15 - 19:00,,https://www.last.fm/music/cerian,CERIAN
Cero39,http://cero39.com/,THE BLUES,SUNDAY,13:00 - 15:00,ac80358b-f562-4077-8147-f5ded4dabcc4,https://www.last.fm/music/Cero39,CERO39
Chaim Tannenbaum,,ACOUSTIC STAGE,SATURDAY,15:25 - 16:05,b1c800e0-821a-4ba8-bf1f-01852fa210f7,https://www.last.fm/music/Chaim+Tannenbaum,CHAIM TANNENBAUM
ChainSka Brassika,http://www.chainskabrassika.com/,THE TRUTH STAGE,FRIDAY,04:00 - 05:00,,https://www.last.fm/music/ChainSka+Brassika,CHAINSKA BRASSIKA
